温度,时间,,
15.8,2019/3/14 5:50,,
15.9,2019/3/14 5:40,,
15.9,2019/3/14 5:30,,
16,2019/3/14 5:20,,
16,2019/3/14 5:14,,
16.8,2019/3/14 2:20,,
16.8,2019/3/14 2:10,,
16.8,2019/3/14 2:00,,
16.9,2019/3/14 1:50,,
17,2019/3/14 1:40,,
17,2019/3/14 1:30,,
17,2019/3/14 1:20,,
17,2019/3/14 1:10,,
17,2019/3/14 1:00,,
17,2019/3/14 0:50,,
17.1,2019/3/14 0:40,,
17.1,2019/3/14 0:30,,
17.1,2019/3/14 0:20,,
17.1,2019/3/14 0:10,,
17.1,2019/3/14 0:00,,
17.2,2019/3/13 23:50,,
17.2,2019/3/13 23:40,,
17.3,2019/3/13 23:30,,
17.3,2019/3/13 23:20,,
17.3,2019/3/13 23:10,,
17.4,2019/3/13 23:00,,
17.4,2019/3/13 22:50,,
17.4,2019/3/13 22:40,,
17.4,2019/3/13 22:30,,
17.5,2019/3/13 22:20,,
17.5,2019/3/13 22:10,,
17.5,2019/3/13 22:00,,
17.5,2019/3/13 21:50,,
17.6,2019/3/13 21:40,,
17.6,2019/3/13 21:30,,
17.7,2019/3/13 21:20,,
17.8,2019/3/13 21:10,,
17.9,2019/3/13 21:00,,
18,2019/3/13 20:50,,
18.3,2019/3/13 20:40,,
18.5,2019/3/13 20:30,,
18.5,2019/3/13 20:20,,
18.7,2019/3/13 20:10,,
18.6,2019/3/13 20:00,,
17.8,2019/3/13 19:50,,
18,2019/3/13 19:40,,
18,2019/3/13 19:30,,
18,2019/3/13 19:20,,
18,2019/3/13 19:10,,
18,2019/3/13 19:00,,
18,2019/3/13 18:50,,
18,2019/3/13 18:40,,
18,2019/3/13 18:30,,
18,2019/3/13 18:20,,
18,2019/3/13 18:10,,
18,2019/3/13 18:00,,
18.1,2019/3/13 17:50,,
18.1,2019/3/13 17:40,,
18.1,2019/3/13 17:30,,
18.1,2019/3/13 17:20,,
18.1,2019/3/13 17:10,,
18.2,2019/3/13 17:00,,
18.2,2019/3/13 16:50,,
18.1,2019/3/13 16:40,,
18.1,2019/3/13 16:30,,
18.1,2019/3/13 16:20,,
18.1,2019/3/13 16:10,,
18.1,2019/3/13 16:00,,
18.2,2019/3/13 15:50,,
18.1,2019/3/13 15:40,,
18.1,2019/3/13 15:30,,
18.1,2019/3/13 15:20,,
18.1,2019/3/13 15:10,,
18.1,2019/3/13 15:00,,
18.1,2019/3/13 14:50,,
18,2019/3/13 14:40,,
18,2019/3/13 14:30,,
18,2019/3/13 14:20,,
18,2019/3/13 14:10,,
18,2019/3/13 14:00,,
18,2019/3/13 13:50,,
18,2019/3/13 13:40,,
18,2019/3/13 13:30,,
18,2019/3/13 13:20,,
18,2019/3/13 13:10,,
18,2019/3/13 13:00,,
18,2019/3/13 12:50,,
18,2019/3/13 12:40,,
18,2019/3/13 12:30,,
17.9,2019/3/13 12:20,,
17.8,2019/3/13 12:10,,
17.8,2019/3/13 12:00,,
17.8,2019/3/13 11:50,,
17.7,2019/3/13 11:40,,
17.6,2019/3/13 11:30,,
17.6,2019/3/13 11:20,,
17.6,2019/3/13 11:10,,
17.6,2019/3/13 11:00,,
17.6,2019/3/13 10:50,,
17.5,2019/3/13 10:40,,
17.3,2019/3/13 10:30,,
17.5,2019/3/13 10:20,,
17.4,2019/3/13 10:10,,
17.3,2019/3/13 10:00,,
17.2,2019/3/13 9:50,,
17.2,2019/3/13 9:40,,
17.2,2019/3/13 9:30,,
17.2,2019/3/13 9:20,,
17.1,2019/3/13 9:10,,
17.1,2019/3/13 9:00,,
17,2019/3/13 8:50,,
16.9,2019/3/13 8:40,,
16.8,2019/3/13 8:30,,
16.8,2019/3/13 8:20,,
16.7,2019/3/13 8:10,,
16.6,2019/3/13 8:00,,
16.5,2019/3/13 7:50,,
16.4,2019/3/13 7:40,,
16.3,2019/3/13 7:30,,
15.8,2019/3/13 7:20,,
15.8,2019/3/13 7:10,,
15.7,2019/3/13 7:00,,
15.6,2019/3/13 6:50,,
15.5,2019/3/13 6:40,,
15.5,2019/3/13 6:30,,
15.5,2019/3/13 6:20,,
15.5,2019/3/13 6:10,,
15.5,2019/3/13 6:00,,
15.5,2019/3/13 5:50,,
15.6,2019/3/13 5:40,,
15.6,2019/3/13 5:30,,
15.6,2019/3/13 5:20,,
15.6,2019/3/13 5:10,,
15.6,2019/3/13 5:00,,
15.6,2019/3/13 4:50,,
15.6,2019/3/13 4:40,,
15.6,2019/3/13 4:30,,
15.6,2019/3/13 4:20,,
15.7,2019/3/13 4:10,,
15.6,2019/3/13 4:00,,
15.6,2019/3/13 3:50,,
15.6,2019/3/13 3:40,,
15.6,2019/3/13 3:30,,
15.7,2019/3/13 3:20,,
15.8,2019/3/13 3:10,,
15.8,2019/3/13 3:00,,
15.8,2019/3/13 2:50,,
15.7,2019/3/13 2:40,,
15.8,2019/3/13 2:30,,
15.7,2019/3/13 2:20,,
15.8,2019/3/13 2:10,,
15.7,2019/3/13 2:00,,
15.7,2019/3/13 1:50,,
15.8,2019/3/13 1:40,,
15.8,2019/3/13 1:30,,
15.8,2019/3/13 1:20,,
15.9,2019/3/13 1:10,,
15.8,2019/3/13 1:00,,
15.9,2019/3/13 0:50,,
15.8,2019/3/13 0:40,,
15.9,2019/3/13 0:30,,
16,2019/3/13 0:20,,
16,2019/3/13 0:10,,
15.8,2019/3/13 0:00,,
15.9,2019/3/12 23:50,,
15.8,2019/3/12 23:40,,
16,2019/3/12 23:30,,
16,2019/3/12 23:20,,
16,2019/3/12 23:10,,
16.1,2019/3/12 23:00,,
16,2019/3/12 22:50,,
16.1,2019/3/12 22:40,,
16,2019/3/12 22:30,,
16.3,2019/3/12 22:20,,
16.2,2019/3/12 22:10,,
16.2,2019/3/12 22:00,,
16.3,2019/3/12 21:50,,
16.3,2019/3/12 21:40,,
16.4,2019/3/12 21:30,,
16.4,2019/3/12 21:20,,
16.4,2019/3/12 21:10,,
16.5,2019/3/12 21:00,,
16.5,2019/3/12 20:50,,
16.6,2019/3/12 20:40,,
16.8,2019/3/12 20:30,,
17,2019/3/12 20:20,,
17.3,2019/3/12 20:10,,
17.6,2019/3/12 20:00,,
17.6,2019/3/12 19:50,,
17.1,2019/3/12 19:40,,
17,2019/3/12 19:30,,
17,2019/3/12 19:23,,
17,2019/3/12 19:20,,
17.1,2019/3/12 19:10,,
17.1,2019/3/12 19:00,,
17.1,2019/3/12 18:50,,
17.3,2019/3/12 18:40,,
17.3,2019/3/12 18:30,,
17.3,2019/3/12 18:20,,
17.2,2019/3/12 18:10,,
17.3,2019/3/12 18:00,,
17.3,2019/3/12 17:50,,
17.3,2019/3/12 17:40,,
17.3,2019/3/12 17:30,,
17.3,2019/3/12 17:20,,
17.3,2019/3/12 17:10,,
17.3,2019/3/12 17:00,,
17.3,2019/3/12 16:50,,
17.3,2019/3/12 16:40,,
17.3,2019/3/12 16:30,,
17.4,2019/3/12 16:20,,
17.4,2019/3/12 16:10,,
17.3,2019/3/12 16:00,,
17.4,2019/3/12 15:50,,
17.3,2019/3/12 15:40,,
17.4,2019/3/12 15:30,,
17.5,2019/3/12 15:20,,
17.4,2019/3/12 15:10,,
17.2,2019/3/12 15:00,,
17.3,2019/3/12 14:50,,
17.4,2019/3/12 14:40,,
17.3,2019/3/12 14:30,,
17.4,2019/3/12 14:20,,
17.2,2019/3/12 14:10,,
17.2,2019/3/12 14:00,,
17.1,2019/3/12 13:50,,
17.3,2019/3/12 13:40,,
17.3,2019/3/12 13:30,,
17.1,2019/3/12 13:20,,
17,2019/3/12 13:10,,
17.1,2019/3/12 13:00,,
17,2019/3/12 12:50,,
17,2019/3/12 12:40,,
16.9,2019/3/12 12:30,,
16.9,2019/3/12 12:20,,
17,2019/3/12 12:10,,
16.9,2019/3/12 12:00,,
16.8,2019/3/12 11:50,,
17,2019/3/12 11:40,,
17,2019/3/12 11:30,,
16.7,2019/3/12 11:20,,
16.8,2019/3/12 11:10,,
16.7,2019/3/12 11:00,,
16.7,2019/3/12 10:50,,
16.5,2019/3/12 10:40,,
16.5,2019/3/12 10:30,,
16.5,2019/3/12 10:20,,
16.5,2019/3/12 10:10,,
16.5,2019/3/12 10:00,,
16.5,2019/3/12 9:50,,
16.5,2019/3/12 9:40,,
16.5,2019/3/12 9:30,,
16.4,2019/3/12 9:20,,
16.3,2019/3/12 9:10,,
16.3,2019/3/12 9:00,,
16.3,2019/3/12 8:50,,
16.2,2019/3/12 8:40,,
16.4,2019/3/12 8:30,,
16.2,2019/3/12 8:20,,
16.3,2019/3/12 8:10,,
16.1,2019/3/12 8:00,,
16.1,2019/3/12 7:50,,
15.9,2019/3/12 7:40,,
15.9,2019/3/12 7:30,,
15.7,2019/3/12 7:20,,
15.7,2019/3/12 7:10,,
15.6,2019/3/12 7:00,,
15.6,2019/3/12 6:50,,
15.6,2019/3/12 6:40,,
15.6,2019/3/12 6:30,,
15.6,2019/3/12 6:20,,
15.6,2019/3/12 6:10,,
15.6,2019/3/12 6:00,,
15.6,2019/3/12 5:50,,
15.6,2019/3/12 5:40,,
15.7,2019/3/12 5:30,,
15.7,2019/3/12 5:20,,
15.7,2019/3/12 5:10,,
15.7,2019/3/12 5:00,,
15.7,2019/3/12 4:50,,
15.7,2019/3/12 4:40,,
15.6,2019/3/12 4:30,,
15.6,2019/3/12 4:20,,
15.7,2019/3/12 4:10,,
15.7,2019/3/12 4:00,,
15.7,2019/3/12 3:50,,
15.8,2019/3/12 3:40,,
15.7,2019/3/12 3:30,,
15.8,2019/3/12 3:20,,
15.8,2019/3/12 3:10,,
15.8,2019/3/12 3:00,,
15.8,2019/3/12 2:50,,
15.8,2019/3/12 2:40,,
15.8,2019/3/12 2:30,,
15.9,2019/3/12 2:20,,
16,2019/3/12 2:10,,
16,2019/3/12 2:00,,
16,2019/3/12 1:50,,
16,2019/3/12 1:40,,
16.1,2019/3/12 1:30,,
16.1,2019/3/12 1:20,,
16.2,2019/3/12 1:10,,
16.3,2019/3/12 1:00,,
16.3,2019/3/12 0:50,,
16.3,2019/3/12 0:40,,
16.3,2019/3/12 0:30,,
16.3,2019/3/12 0:20,,
16.2,2019/3/12 0:10,,
16.5,2019/3/12 0:00,,
16.5,2019/3/11 23:50,,
16.5,2019/3/11 23:40,,
16.5,2019/3/11 23:30,,
16.5,2019/3/11 23:20,,
16.6,2019/3/11 23:10,,
16.7,2019/3/11 23:00,,
16.7,2019/3/11 22:50,,
16.8,2019/3/11 22:40,,
16.8,2019/3/11 22:30,,
17,2019/3/11 22:20,,
17,2019/3/11 22:10,,
16.9,2019/3/11 22:00,,
17.3,2019/3/11 21:50,,
16.9,2019/3/11 21:40,,
17,2019/3/11 21:30,,
17,2019/3/11 21:20,,
17.6,2019/3/11 21:10,,
17.6,2019/3/11 21:00,,
17.7,2019/3/11 20:50,,
17.8,2019/3/11 20:40,,
17.8,2019/3/11 20:30,,
17.9,2019/3/11 20:20,,
17.9,2019/3/11 20:10,,
17.9,2019/3/11 20:00,,
18.1,2019/3/11 19:50,,
18.5,2019/3/11 19:40,,
18.6,2019/3/11 19:30,,
18.5,2019/3/11 19:20,,
17.8,2019/3/11 19:10,,
17.6,2019/3/11 19:00,,
17.6,2019/3/11 18:50,,
17.6,2019/3/11 18:40,,
17.6,2019/3/11 18:30,,
17.6,2019/3/11 18:20,,
17.6,2019/3/11 18:10,,
17.7,2019/3/11 18:00,,
17.8,2019/3/11 17:50,,
17.9,2019/3/11 17:40,,
18,2019/3/11 17:30,,
18,2019/3/11 17:20,,
18,2019/3/11 17:10,,
18,2019/3/11 17:00,,
18,2019/3/11 16:50,,
18,2019/3/11 16:40,,
18,2019/3/11 16:30,,
18,2019/3/11 16:20,,
18,2019/3/11 16:10,,
18,2019/3/11 16:00,,
17.9,2019/3/11 15:50,,
18,2019/3/11 15:40,,
18,2019/3/11 15:30,,
18.1,2019/3/11 15:20,,
18,2019/3/11 15:10,,
18,2019/3/11 15:00,,
18.1,2019/3/11 14:50,,
18,2019/3/11 14:40,,
18.1,2019/3/11 14:30,,
18.1,2019/3/11 14:20,,
18.1,2019/3/11 14:10,,
18.1,2019/3/11 14:00,,
18,2019/3/11 13:50,,
18,2019/3/11 13:40,,
18,2019/3/11 13:30,,
17.8,2019/3/11 13:20,,
17.8,2019/3/11 13:10,,
17.8,2019/3/11 13:00,,
17.7,2019/3/11 12:50,,
17.8,2019/3/11 12:40,,
17.7,2019/3/11 12:30,,
17.6,2019/3/11 12:20,,
17.5,2019/3/11 12:10,,
17.5,2019/3/11 12:00,,
17.6,2019/3/11 11:50,,
17.5,2019/3/11 11:40,,
17.6,2019/3/11 11:30,,
17.5,2019/3/11 11:20,,
17.4,2019/3/11 11:10,,
17.3,2019/3/11 11:00,,
17.3,2019/3/11 10:50,,
17.3,2019/3/11 10:40,,
17.2,2019/3/11 10:30,,
17.3,2019/3/11 10:20,,
17.4,2019/3/11 10:10,,
17.3,2019/3/11 10:00,,
17.2,2019/3/11 9:50,,
17.3,2019/3/11 9:40,,
17.1,2019/3/11 9:30,,
17,2019/3/11 9:20,,
17,2019/3/11 9:10,,
16.9,2019/3/11 9:00,,
16.8,2019/3/11 8:50,,
16.8,2019/3/11 8:40,,
16.8,2019/3/11 8:30,,
16.8,2019/3/11 8:20,,
16.7,2019/3/11 8:10,,
16.6,2019/3/11 8:00,,
16,2019/3/11 7:50,,
15.7,2019/3/11 7:40,,
15.8,2019/3/11 7:30,,
15.6,2019/3/11 7:20,,
15.7,2019/3/11 7:10,,
15.6,2019/3/11 7:00,,
15.6,2019/3/11 6:50,,
15.6,2019/3/11 6:40,,
15.6,2019/3/11 6:30,,
15.6,2019/3/11 6:20,,
15.5,2019/3/11 6:10,,
15.6,2019/3/11 6:00,,
15.6,2019/3/11 5:50,,
15.6,2019/3/11 5:40,,
15.8,2019/3/11 5:30,,
15.7,2019/3/11 5:20,,
15.8,2019/3/11 5:10,,
15.9,2019/3/11 5:00,,
15.8,2019/3/11 4:50,,
15.8,2019/3/11 4:40,,
15.8,2019/3/11 4:30,,
15.9,2019/3/11 4:20,,
15.8,2019/3/11 4:10,,
16,2019/3/11 4:00,,
16,2019/3/11 3:50,,
16,2019/3/11 3:40,,
16,2019/3/11 3:30,,
16.1,2019/3/11 3:20,,
16.1,2019/3/11 3:10,,
16.2,2019/3/11 3:00,,
16.1,2019/3/11 2:50,,
16.1,2019/3/11 2:40,,
16.2,2019/3/11 2:30,,
16.2,2019/3/11 2:20,,
16.3,2019/3/11 2:10,,
16.3,2019/3/11 2:00,,
16.3,2019/3/11 1:50,,
16.4,2019/3/11 1:40,,
16.4,2019/3/11 1:30,,
16.4,2019/3/11 1:20,,
16.4,2019/3/11 1:10,,
16.4,2019/3/11 1:00,,
16.4,2019/3/11 0:50,,
16.5,2019/3/11 0:40,,
16.5,2019/3/11 0:30,,
16.6,2019/3/11 0:20,,
16.5,2019/3/11 0:10,,
16.6,2019/3/11 0:00,,
16.7,2019/3/10 23:50,,
16.8,2019/3/10 23:40,,
16.8,2019/3/10 23:30,,
16.8,2019/3/10 23:20,,
16.8,2019/3/10 23:10,,
16.8,2019/3/10 23:00,,
16.9,2019/3/10 22:50,,
16.9,2019/3/10 22:40,,
17,2019/3/10 22:30,,
17,2019/3/10 22:20,,
17,2019/3/10 22:10,,
17.1,2019/3/10 22:00,,
17.1,2019/3/10 21:50,,
17.1,2019/3/10 21:40,,
17.3,2019/3/10 21:30,,
17.3,2019/3/10 21:20,,
17.3,2019/3/10 21:10,,
17.4,2019/3/10 21:00,,
17.4,2019/3/10 20:50,,
17.4,2019/3/10 20:40,,
17.4,2019/3/10 20:30,,
17.5,2019/3/10 20:20,,
17.5,2019/3/10 20:10,,
17.5,2019/3/10 20:00,,
17.5,2019/3/10 19:50,,
17.7,2019/3/10 19:40,,
17.7,2019/3/10 19:30,,
17.7,2019/3/10 19:20,,
17.6,2019/3/10 19:10,,
17.7,2019/3/10 19:00,,
17.6,2019/3/10 18:50,,
17.7,2019/3/10 18:40,,
17.8,2019/3/10 18:30,,
17.8,2019/3/10 18:20,,
17.8,2019/3/10 18:10,,
17.8,2019/3/10 18:00,,
17.8,2019/3/10 17:50,,
17.8,2019/3/10 17:40,,
17.8,2019/3/10 17:30,,
17.8,2019/3/10 17:20,,
17.8,2019/3/10 17:10,,
17.8,2019/3/10 17:00,,
17.7,2019/3/10 16:50,,
17.8,2019/3/10 16:40,,
17.8,2019/3/10 16:30,,
17.8,2019/3/10 16:20,,
17.8,2019/3/10 16:10,,
17.8,2019/3/10 16:00,,
18,2019/3/10 15:50,,
18,2019/3/10 15:40,,
18.1,2019/3/10 15:30,,
18,2019/3/10 15:20,,
18,2019/3/10 15:10,,
18.1,2019/3/10 15:00,,
18.1,2019/3/10 14:50,,
18.2,2019/3/10 14:40,,
18.2,2019/3/10 14:30,,
18.3,2019/3/10 14:20,,
18.3,2019/3/10 14:10,,
18.4,2019/3/10 14:00,,
18.4,2019/3/10 13:50,,
18.4,2019/3/10 13:40,,
18.3,2019/3/10 13:30,,
18.2,2019/3/10 13:20,,
18.3,2019/3/10 13:10,,
18.3,2019/3/10 13:00,,
18.1,2019/3/10 12:50,,
18.2,2019/3/10 12:40,,
18.1,2019/3/10 12:30,,
18.1,2019/3/10 12:20,,
18.1,2019/3/10 12:10,,
18.1,2019/3/10 12:00,,
18,2019/3/10 11:50,,
17.9,2019/3/10 11:40,,
18,2019/3/10 11:30,,
18,2019/3/10 11:20,,
17.9,2019/3/10 11:10,,
17.8,2019/3/10 11:00,,
17.7,2019/3/10 10:50,,
17.7,2019/3/10 10:40,,
17.6,2019/3/10 10:30,,
17.6,2019/3/10 10:20,,
17.5,2019/3/10 10:10,,
17.5,2019/3/10 10:00,,
17.6,2019/3/10 9:50,,
17.5,2019/3/10 9:40,,
17.4,2019/3/10 9:30,,
17.4,2019/3/10 9:20,,
17.3,2019/3/10 9:10,,
17.1,2019/3/10 9:00,,
17.1,2019/3/10 8:50,,
17.1,2019/3/10 8:40,,
17,2019/3/10 8:30,,
16.8,2019/3/10 8:20,,
16.8,2019/3/10 8:10,,
16.7,2019/3/10 8:00,,
16.6,2019/3/10 7:50,,
16.1,2019/3/10 7:40,,
16.1,2019/3/10 7:30,,
16.1,2019/3/10 7:20,,
16.1,2019/3/10 7:10,,
16.1,2019/3/10 7:00,,
16.2,2019/3/10 6:50,,
16.2,2019/3/10 6:40,,
16.2,2019/3/10 6:30,,
16.3,2019/3/10 6:20,,
16.3,2019/3/10 6:10,,
16.3,2019/3/10 6:00,,
16.3,2019/3/10 5:50,,
16.3,2019/3/10 5:40,,
16.3,2019/3/10 5:30,,
16.4,2019/3/10 5:20,,
16.4,2019/3/10 5:10,,
16.4,2019/3/10 5:00,,
16.5,2019/3/10 4:50,,
16.5,2019/3/10 4:40,,
16.5,2019/3/10 4:30,,
16.5,2019/3/10 4:20,,
16.5,2019/3/10 4:10,,
16.5,2019/3/10 4:00,,
16.6,2019/3/10 3:50,,
16.6,2019/3/10 3:40,,
16.6,2019/3/10 3:30,,
16.6,2019/3/10 3:20,,
16.6,2019/3/10 3:10,,
16.6,2019/3/10 3:00,,
16.7,2019/3/10 2:50,,
16.8,2019/3/10 2:40,,
16.8,2019/3/10 2:30,,
16.8,2019/3/10 2:20,,
16.8,2019/3/10 2:10,,
16.9,2019/3/10 2:00,,
16.9,2019/3/10 1:50,,
17,2019/3/10 1:40,,
17,2019/3/10 1:30,,
17,2019/3/10 1:20,,
17,2019/3/10 1:10,,
17,2019/3/10 1:00,,
17,2019/3/10 0:50,,
17.1,2019/3/10 0:40,,
17.1,2019/3/10 0:30,,
17.1,2019/3/10 0:20,,
17.1,2019/3/10 0:10,,
17.1,2019/3/10 0:00,,
17.2,2019/3/9 23:50,,
17.2,2019/3/9 23:40,,
17.3,2019/3/9 23:30,,
17.3,2019/3/9 23:20,,
17.3,2019/3/9 23:10,,
17.4,2019/3/9 23:00,,
17.5,2019/3/9 22:50,,
17.5,2019/3/9 22:40,,
17.5,2019/3/9 22:30,,
17.6,2019/3/9 22:20,,
17.6,2019/3/9 22:10,,
17.8,2019/3/9 22:00,,
18,2019/3/9 21:50,,
18,2019/3/9 21:40,,
18,2019/3/9 21:30,,
17.9,2019/3/9 21:20,,
17.9,2019/3/9 21:10,,
17.9,2019/3/9 21:00,,
17.9,2019/3/9 20:50,,
17.9,2019/3/9 20:40,,
17.9,2019/3/9 20:30,,
17.8,2019/3/9 20:20,,
17.8,2019/3/9 20:10,,
17.8,2019/3/9 20:00,,
17.8,2019/3/9 19:50,,
17.8,2019/3/9 19:40,,
17.8,2019/3/9 19:30,,
17.8,2019/3/9 19:20,,
17.8,2019/3/9 19:10,,
17.8,2019/3/9 19:00,,
17.9,2019/3/9 18:50,,
17.8,2019/3/9 18:40,,
17.8,2019/3/9 18:30,,
17.8,2019/3/9 18:20,,
17.8,2019/3/9 18:10,,
17.8,2019/3/9 18:00,,
17.8,2019/3/9 17:50,,
17.9,2019/3/9 17:40,,
17.8,2019/3/9 17:30,,
17.9,2019/3/9 17:20,,
17.9,2019/3/9 17:10,,
17.9,2019/3/9 17:00,,
18,2019/3/9 16:50,,
18,2019/3/9 16:40,,
18,2019/3/9 16:30,,
18,2019/3/9 16:20,,
18,2019/3/9 16:10,,
18,2019/3/9 16:00,,
18,2019/3/9 15:50,,
17.9,2019/3/9 15:40,,
17.8,2019/3/9 15:30,,
17.7,2019/3/9 15:20,,
17.8,2019/3/9 15:10,,
17.8,2019/3/9 15:00,,
17.8,2019/3/9 14:50,,
17.8,2019/3/9 14:40,,
17.8,2019/3/9 14:30,,
17.8,2019/3/9 14:20,,
17.9,2019/3/9 14:10,,
18,2019/3/9 14:00,,
17.9,2019/3/9 13:50,,
18,2019/3/9 13:40,,
17.9,2019/3/9 13:30,,
17.9,2019/3/9 13:20,,
18,2019/3/9 13:10,,
18,2019/3/9 13:00,,
17.9,2019/3/9 12:50,,
17.9,2019/3/9 12:40,,
17.9,2019/3/9 12:30,,
17.9,2019/3/9 12:20,,
18,2019/3/9 12:10,,
18.1,2019/3/9 12:00,,
18.1,2019/3/9 11:50,,
18.1,2019/3/9 11:40,,
18.1,2019/3/9 11:30,,
18.1,2019/3/9 11:20,,
18,2019/3/9 11:10,,
18,2019/3/9 11:00,,
17.9,2019/3/9 10:50,,
17.8,2019/3/9 10:40,,
17.7,2019/3/9 10:30,,
17.9,2019/3/9 10:20,,
17.8,2019/3/9 10:10,,
17.6,2019/3/9 10:00,,
17.6,2019/3/9 9:50,,
17.5,2019/3/9 9:40,,
17.6,2019/3/9 9:30,,
17.6,2019/3/9 9:20,,
17.8,2019/3/9 9:10,,
17.9,2019/3/9 9:00,,
17.8,2019/3/9 8:50,,
17.9,2019/3/9 8:40,,
18.1,2019/3/9 8:30,,
18.1,2019/3/9 8:20,,
18.1,2019/3/9 8:10,,
18.2,2019/3/9 8:00,,
18.3,2019/3/9 7:50,,
18.3,2019/3/9 7:40,,
18.2,2019/3/9 7:30,,
18.1,2019/3/9 7:20,,
18.3,2019/3/9 7:10,,
18.3,2019/3/9 7:00,,
18.3,2019/3/9 6:50,,
18.3,2019/3/9 6:40,,
18.3,2019/3/9 6:30,,
18.3,2019/3/9 6:20,,
18.3,2019/3/9 6:10,,
18.3,2019/3/9 6:00,,
18.2,2019/3/9 5:50,,
18.3,2019/3/9 5:40,,
18.2,2019/3/9 5:30,,
18.3,2019/3/9 5:20,,
18.3,2019/3/9 5:10,,
18.3,2019/3/9 5:00,,
18.3,2019/3/9 4:50,,
18.3,2019/3/9 4:40,,
18.3,2019/3/9 4:30,,
18.3,2019/3/9 4:20,,
18.3,2019/3/9 4:10,,
18.3,2019/3/9 4:00,,
18.3,2019/3/9 3:50,,
18.3,2019/3/9 3:40,,
18.3,2019/3/9 3:30,,
18.3,2019/3/9 3:20,,
18.3,2019/3/9 3:10,,
18.3,2019/3/9 3:00,,
18.3,2019/3/9 2:50,,
18.3,2019/3/9 2:40,,
18.3,2019/3/9 2:30,,
18.3,2019/3/9 2:20,,
18.3,2019/3/9 2:10,,
18.3,2019/3/9 2:00,,
18.3,2019/3/9 1:50,,
18.3,2019/3/9 1:40,,
18.3,2019/3/9 1:30,,
18.3,2019/3/9 1:20,,
18.3,2019/3/9 1:10,,
18.2,2019/3/9 1:00,,
18.2,2019/3/9 0:50,,
18.2,2019/3/9 0:40,,
18.3,2019/3/9 0:30,,
18.3,2019/3/9 0:20,,
18.2,2019/3/9 0:10,,
18.2,2019/3/9 0:00,,
18.2,2019/3/8 23:50,,
18.2,2019/3/8 23:40,,
18.2,2019/3/8 23:30,,
18.2,2019/3/8 23:20,,
18.2,2019/3/8 23:10,,
18.2,2019/3/8 23:00,,
18.2,2019/3/8 22:50,,
18.2,2019/3/8 22:40,,
18.2,2019/3/8 22:30,,
18.2,2019/3/8 22:20,,
18.2,2019/3/8 22:10,,
18.2,2019/3/8 22:00,,
18.1,2019/3/8 21:50,,
18.2,2019/3/8 21:40,,
18.2,2019/3/8 21:30,,
18.1,2019/3/8 21:20,,
18.1,2019/3/8 21:10,,
18.2,2019/3/8 21:00,,
18.2,2019/3/8 20:50,,
18.2,2019/3/8 20:40,,
